news_headline,news_article,news_category,full_text,clean_text
OnePlus leads the premium smartphone segment in India: Report,"OnePlus continued to lead in premium smartphone segment for the second consecutive quarter during Q3, as per Counterpoint Research's analysis on Indian smartphone market. OnePlus 6 became OnePlus' highest selling flagship model within 5 months of its launch, capturing 30% of the market. It remains the top-selling smartphone in premium segment, followed by Galaxy Note 9 and Galaxy A8 star.",technology,"OnePlus leads the premium smartphone segment in India: Report. OnePlus continued to lead in premium smartphone segment for the second consecutive quarter during Q3, as per Counterpoint Research's analysis on Indian smartphone market. OnePlus 6 became OnePlus' highest selling flagship model within 5 months of its launch, capturing 30% of the market. It remains the top-selling smartphone in premium segment, followed by Galaxy Note 9 and Galaxy A8 star.",oneplus lead premium smartphone segment india report oneplus continue lead premium smartphone segment second consecutive quarter q per counterpoint research analysis indian smartphone market oneplus become oneplus high sell flagship model within month launch capture market remain top sell smartphone premium segment follow galaxy note galaxy star
"Google dead serious over sexual misconduct, fired 48 staff: Pichai","CEO Sundar Pichai has revealed that Google fired 48 employees, including 13 senior managers, for sexual harassment over the past two years. Pichai added Google is ""dead serious"" for providing a safe workplace and each sexual harassment complaint is reviewed. Pichai emailed employees after a New York Times report claimed Android Co-founder was given $90-million exit despite misconduct allegations.",technology,"Google dead serious over sexual misconduct, fired 48 staff: Pichai. CEO Sundar Pichai has revealed that Google fired 48 employees, including 13 senior managers, for sexual harassment over the past two years. Pichai added Google is ""dead serious"" for providing a safe workplace and each sexual harassment complaint is reviewed. Pichai emailed employees after a New York Times report claimed Android Co-founder was given $90-million exit despite misconduct allegations.",google dead serious sexual misconduct fire staff pichai ceo sundar pichai reveal google fire employee include senior manager sexual harassment past two year pichai add google dead serious provide safe workplace sexual harassment complaint review pichai email employee new york time report claim android co founder give million exit despite misconduct allegation
Android Co-founder denies forcing oral sex on employee,"Android Co-founder Andy Rubin has refuted a New York Times report which claimed he pressurised an employee during an extramarital relationship into oral sex in 2013. Google Co-founder Larry Page asked Rubin to resign after the woman's complaint, the report had added. Rubin denied the allegations saying it's ""a smear campaign to disparage me during a divorce and custody battle.""",technology,"Android Co-founder denies forcing oral sex on employee. Android Co-founder Andy Rubin has refuted a New York Times report which claimed he pressurised an employee during an extramarital relationship into oral sex in 2013. Google Co-founder Larry Page asked Rubin to resign after the woman's complaint, the report had added. Rubin denied the allegations saying it's ""a smear campaign to disparage me during a divorce and custody battle.""",android co founder deny force oral sex employee android co founder andy rubin refute new york time report claim pressurise employee extramarital relationship oral sex google co founder larry page ask rubin resign woman complaint report add rubin deny allegation say smear campaign disparage divorce custody battle
Never forced a woman to have sex in hotel room: Android Co-founder,"Android Co-founder Andy Rubin on Thursday refuted a New York Times report that claimed he forced an employee into oral sex during an extramarital affair in 2013. ""I never coerced a woman to have sex in a hotel room. These false allegations are part of a smear campaign to disparage me during a divorce and custody battle,"" tweeted Rubin.",technology,"Never forced a woman to have sex in hotel room: Android Co-founder. Android Co-founder Andy Rubin on Thursday refuted a New York Times report that claimed he forced an employee into oral sex during an extramarital affair in 2013. ""I never coerced a woman to have sex in a hotel room. These false allegations are part of a smear campaign to disparage me during a divorce and custody battle,"" tweeted Rubin.",never force woman sex hotel room android co founder android co founder andy rubin thursday refute new york time report claim force employee oral sex extramarital affair never coerce woman sex hotel room false allegation part smear campaign disparage divorce custody battle tweet rubin
Govt asks internet providers to block over 800 porn websites,"Following an Uttarakhand High Court order, the government has ordered internet service providers to block 827 websites that host pornographic content. The Uttarakhand HC had asked to block 857 websites, but the Ministry of Electronics and IT didn't find any pornographic content on 30 websites. The Department of Telecommunications issued an order to internet service providers directing the same.",technology,"Govt asks internet providers to block over 800 porn websites. Following an Uttarakhand High Court order, the government has ordered internet service providers to block 827 websites that host pornographic content. The Uttarakhand HC had asked to block 857 websites, but the Ministry of Electronics and IT didn't find any pornographic content on 30 websites. The Department of Telecommunications issued an order to internet service providers directing the same.",govt ask internet provider block porn website follow uttarakhand high court order government order internet service provider block website host pornographic content uttarakhand hc ask block website ministry electronic not find pornographic content website department telecommunication issue order internet service provider direct
Trump should swap iPhone for Huawei: China amid spying report,"China's Foreign Ministry has suggested that US President Donald Trump should swap his Apple iPhone for a Huawei mobile, as it denied a report claiming that China was spying on his private calls. Notably, US intelligence agencies have warned citizens to not buy smartphones made by Huawei, saying the devices could be used by China to spy on them.",technology,"Trump should swap iPhone for Huawei: China amid spying report. China's Foreign Ministry has suggested that US President Donald Trump should swap his Apple iPhone for a Huawei mobile, as it denied a report claiming that China was spying on his private calls. Notably, US intelligence agencies have warned citizens to not buy smartphones made by Huawei, saying the devices could be used by China to spy on them.",trump swap iphone huawei china amid spy report chinas foreign ministry suggest us president donald trump swap apple iphone huawei mobile deny report claim china spy private call notably us intelligence agency warn citizen not buy smartphone make huawei say device could use china spy
Amazon shares fall 9% despite record $2.9 billion profit in Q3,"Shares of Amazon fell over 9% in extended trading on Thursday despite the company posting a record $2.9 billion profit for the July-September quarter. This is the fourth straight quarter that the e-commerce and cloud computing giant has topped $1 billion in profit. However, Amazon projected smaller than expected sales in the current quarter, which includes the holiday season.",technology,"Amazon shares fall 9% despite record $2.9 billion profit in Q3. Shares of Amazon fell over 9% in extended trading on Thursday despite the company posting a record $2.9 billion profit for the July-September quarter. This is the fourth straight quarter that the e-commerce and cloud computing giant has topped $1 billion in profit. However, Amazon projected smaller than expected sales in the current quarter, which includes the holiday season.",amazon share fall despite record billion profit q share amazon fall extended trading thursday despite company post record billion profit july september quarter fourth straight quarter e commerce cloud computing giant top billion profit however amazon project small expected sale current quarter include holiday season
"When I was young, I hated Bill Gates: Jack Ma","Alibaba Co-Founder Jack Ma at an innovation summit in Israel on Thursday said, ""When I was young, I hated Bill Gates because I thought Microsoft took all the opportunities."" ""IBM, Oracle, they took all the opportunities,"" he added. He said he later realised that ""If you can solve the complaining, if you solve the problems, then that is the opportunity.""",technology,"When I was young, I hated Bill Gates: Jack Ma. Alibaba Co-Founder Jack Ma at an innovation summit in Israel on Thursday said, ""When I was young, I hated Bill Gates because I thought Microsoft took all the opportunities."" ""IBM, Oracle, they took all the opportunities,"" he added. He said he later realised that ""If you can solve the complaining, if you solve the problems, then that is the opportunity.""",young hat bill gate jack alibaba co founder jack innovation summit israel thursday say young hat bill gate think microsoft take opportunity ibm oracle take opportunity add say later realise solve complaining solve problem opportunity
Being gay is God's greatest gift to me: Apple CEO Tim Cook,"Apple CEO Tim Cook in an interview said, ""Being gay is God's greatest gift to me."" ""I made it public because I started to receive stories from kids who read online that I was gay,"" added Cook. ""I wanted to tell gay children that they can be gay and still go on and do big jobs in life,"" Cook said.",technology,"Being gay is God's greatest gift to me: Apple CEO Tim Cook. Apple CEO Tim Cook in an interview said, ""Being gay is God's greatest gift to me."" ""I made it public because I started to receive stories from kids who read online that I was gay,"" added Cook. ""I wanted to tell gay children that they can be gay and still go on and do big jobs in life,"" Cook said.",gay god great gift apple ceo tim cook apple ceo tim cook interview say gay god great gift make public start receive story kid read online gay add cook want tell gay child gay still go big job life cook say
Amazon loses $87 billion in market value after Q3 results,"World's largest online retailer Amazon lost as much as $87 billion in market value on Friday after its third-quarter revenue and fourth-quarter outlook fell short of expectations. The US-based company, however, posted a record profit of $2.9 billion in the third quarter ended September. Shares of the company, which has a market value of $801 billion, fell 10% on Friday.",technology,"Amazon loses $87 billion in market value after Q3 results. World's largest online retailer Amazon lost as much as $87 billion in market value on Friday after its third-quarter revenue and fourth-quarter outlook fell short of expectations. The US-based company, however, posted a record profit of $2.9 billion in the third quarter ended September. Shares of the company, which has a market value of $801 billion, fell 10% on Friday.",amazon lose billion market value q result world large online retailer amazon lose much billion market value friday third quarter revenue fourth quarter outlook fall short expectation us base company however post record profit billion third quarter end september share company market value billion fall friday
